Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
100,194.28571428571428,0.5715748336946309,0.7920266522552861,0.30698300489803093,0.26,32645.130433198327,12652.983592326447,12652.983592326447,1290.2452511638987,370.3328707824594,3631.7248472588053,262.93633825554616,0.5376190646576031,0.1543102068559674,7918194.891455141,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,194.28571428571428,0.5715748336946309,0.7920266522552861,0.3869830048980309,0.33999999999999997,32645.130433198327,15950.360552078164,15950.360552078164,1626.4841257797682,370.3328707824594,3631.7248472588053,262.93633825554616,0.6777229938210254,0.1543102068559674,7918194.891455141,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,196.42857142857142,0.5778789678897923,0.7959065909659206,0.147444448154189,0.1,33532.68217991316,6212.045327011,6212.045327011,633.4523335706893,369.48752962949567,3623.4348824410936,262.3361460369419,0.26394675800762896,0.1539579703183301,8005527.92334619,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,196.42857142857142,0.5778789678897923,0.7959065909659206,0.227444448154189,0.18,33532.68217991316,9582.559662289217,9582.559662289217,977.1491449464617,369.48752962949567,3623.4348824410936,262.3361460369419,0.4071582583723539,0.1539579703183301,8005527.92334619,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,196.42857142857142,0.5778789678897923,0.7959065909659206,0.30744444815418903,0.26,33532.68217991316,12953.073997567437,12953.073997567437,1320.845956322234,369.48752962949567,3623.4348824410936,262.3361460369419,0.550369758737079,0.1539579703183301,8005527.92334619,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,196.42857142857142,0.5778789678897923,0.7959065909659206,0.387444448154189,0.33999999999999997,33532.68217991316,16323.588332845653,16323.588332845653,1664.5427676980064,369.48752962949567,3623.4348824410936,262.3361460369419,0.6935812591018039,0.1539579703183301,8005527.92334619,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,198.57142857142858,0.5841831020849537,0.7999054569423463,0.1479223952044541,0.1,34440.46887417146,6368.898478709944,6368.898478709944,649.4469037550994,368.64218847653194,3615.144917623382,261.7359538183377,0.27061137146339326,0.1536057337806928,8092860.95523724,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,198.57142857142858,0.5841831020849537,0.7999054569423463,0.2279223952044541,0.18,34440.46887417146,9813.35242763744,9813.35242763744,1000.6834574128209,368.64218847653194,3615.144917623382,261.7359538183377,0.41696452973363995,0.1536057337806928,8092860.95523724,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,198.57142857142858,0.5841831020849537,0.7999054569423463,0.3079223952044541,0.26,34440.46887417146,13257.806376564935,13257.806376564935,1351.9200110705426,368.64218847653194,3615.144917623382,261.7359538183377,0.5633176880038867,0.1536057337806928,8092860.95523724,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,198.57142857142858,0.5841831020849537,0.7999054569423463,0.38792239520445404,0.33999999999999997,34440.46887417146,16702.26032549243,16702.26032549243,1703.156564728264,368.64218847653194,3615.144917623382,261.7359538183377,0.7096708462741333,0.1536057337806928,8092860.95523724,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,200.71428571428572,0.5904872362801151,0.8040274471010025,0.1484175652269178,0.1,35369.12519356284,6528.880903707756,6528.880903707756,665.7605710112788,367.7968473235682,3606.85495280567,261.1357615997334,0.27740894620624995,0.1532534972430555,8180193.987128289,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,200.71428571428572,0.5904872362801151,0.8040274471010025,0.22841756522691775,0.18,35369.12519356284,10048.076704407304,10048.076704407304,1024.6186724729957,367.7968473235682,3606.85495280567,261.1357615997334,0.4269378490862374,0.1532534972430555,8180193.987128289,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,200.71428571428572,0.5904872362801151,0.8040274471010025,0.30841756522691777,0.26,35369.12519356284,13567.272505106854,13567.272505106854,1383.476773934713,367.7968473235682,3606.85495280567,261.1357615997334,0.5764667519662249,0.1532534972430555,8180193.987128289,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,200.71428571428572,0.5904872362801151,0.8040274471010025,0.3884175652269177,0.33999999999999997,35369.12519356284,17086.4683058064,17086.4683058064,1742.33487539643,367.7968473235682,3606.85495280567,261.1357615997334,0.7259956548462122,0.1532534972430555,8180193.987128289,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,202.85714285714286,0.5967913704752765,0.8082769983438162,0.14893072348137681,0.1,36319.31960745504,6692.090157919829,6692.090157919829,682.4032832740874,366.95150617060443,3598.564987987958,260.5355693811291,0.2843436273391784,0.15290126070541818,8267527.019019338,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,202.85714285714286,0.5967913704752765,0.8082769983438162,0.22893072348137677,0.18,36319.31960745504,10286.830048514208,10286.830048514208,1048.9647380618467,366.95150617060443,3598.564987987958,260.5355693811291,0.43708236153312563,0.15290126070541818,8267527.019019338,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,202.85714285714286,0.5967913704752765,0.8082769983438162,0.3089307234813768,0.26,36319.31960745504,13881.56993910859,13881.56993910859,1415.526192849606,366.95150617060443,3598.564987987958,260.5355693811291,0.589821095727073,0.15290126070541818,8267527.019019338,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,202.85714285714286,0.5967913704752765,0.8082769983438162,0.38893072348137675,0.33999999999999997,36319.31960745504,17476.309829702965,17476.309829702965,1782.087647637365,366.95150617060443,3598.564987987958,260.5355693811291,0.74255982992102,0.15290126070541818,8267527.019019338,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,205.0,0.6030955046704378,0.8126588043577098,0.14946268492907994,0.1,37291.756713891045,6858.630035498637,6858.630035498637,699.3856246015345,366.1061650176407,3590.275023170246,259.9353771625249,0.2914198250247907,0.15254902416778088,8354860.050910387,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,205.0,0.6030955046704378,0.8126588043577098,0.22946268492907992,0.18,37291.756713891045,10529.716254110625,10529.716254110625,1073.7322382373823,366.1061650176407,3590.275023170246,259.9353771625249,0.4474024772369168,0.15254902416778088,8354860.050910387,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,205.0,0.6030955046704378,0.8126588043577098,0.30946268492907997,0.26,37291.756713891045,14200.802472722613,14200.802472722613,1448.0788518732302,366.1061650176407,3590.275023170246,259.9353771625249,0.6033851294490429,0.15254902416778088,8354860.050910387,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,205.0,0.6030955046704378,0.8126588043577098,0.3894626849290799,0.33999999999999997,37291.756713891045,17871.8886913346,17871.8886913346,1822.425465509078,366.1061650176407,3590.275023170246,259.9353771625249,0.7593677816611689,0.15254902416778088,8354860.050910387,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,207.14285714285714,0.6093996388655992,0.817177833919264,0.1500143182049009,0.1,38287.17978030978,7028.611071331507,7028.611071331507,716.7188664152904,365.26082386467704,3581.985058352535,259.3351849439207,0.2986422358362154,0.1521967876301436,8442193.082801435,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,207.14285714285714,0.6093996388655992,0.817177833919264,0.23001431820490087,0.18,38287.17978030978,10776.845856083877,10776.845856083877,1098.9324444212732,365.26082386467704,3581.985058352535,259.3351849439207,0.45790289277073926,0.1521967876301436,8442193.082801435,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,207.14285714285714,0.6093996388655992,0.817177833919264,0.3100143182049009,0.26,38287.17978030978,14525.080640836251,14525.080640836251,1481.1460224272562,365.26082386467704,3581.985058352535,259.3351849439207,0.6171635497052633,0.1521967876301436,8442193.082801435,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,207.14285714285714,0.6093996388655992,0.817177833919264,0.39001431820490085,0.33999999999999997,38287.17978030978,18273.315425588622,18273.315425588622,1863.359600433239,365.26082386467704,3581.985058352535,259.3351849439207,0.7764242066397872,0.1521967876301436,8442193.082801435,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,209.28571428571428,0.6157037730607605,0.8218393508636749,0.15058654998229465,0.1,39306.37350950592,7202.151093022789,7202.151093022789,734.4150237872045,364.41548271171325,3573.6950935348227,258.7349927253164,0.3060158662105493,0.1518445510925063,8529526.114692487,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,209.28571428571428,0.6157037730607605,0.8218393508636749,0.23058654998229466,0.18,39306.37350950592,11028.336682038323,11028.336682038323,1124.577371685369,364.41548271171325,3573.6950935348227,258.7349927253164,0.4685886145716902,0.1518445510925063,8529526.114692487,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,209.28571428571428,0.6157037730607605,0.8218393508636749,0.3105865499822947,0.26,39306.37350950592,14854.522271053856,14854.522271053856,1514.7397195835333,364.41548271171325,3573.6950935348227,258.7349927253164,0.6311613629328311,0.1518445510925063,8529526.114692487,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,209.28571428571428,0.6157037730607605,0.8218393508636749,0.39058654998229464,0.33999999999999997,39306.37350950592,18680.70786006939,18680.70786006939,1904.9020674816977,364.41548271171325,3573.6950935348227,258.7349927253164,0.7937341112939719,0.1518445510925063,8529526.114692487,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,211.42857142857142,0.6220079072559219,0.8266489358970595,0.1511803697767868,0.1,40350.16705489183,7379.375828136679,7379.375828136679,752.4869173608398,363.5701415587495,3565.405128717111,258.13480050671217,0.313546058250307,0.151492314554869,8616859.146583535,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,211.42857142857142,0.6220079072559219,0.8266489358970595,0.2311803697767868,0.18,40350.16705489183,11284.314459538151,11284.314459538151,1150.679840673232,363.5701415587495,3565.405128717111,258.13480050671217,0.47946498474228383,0.151492314554869,8616859.146583535,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,211.42857142857142,0.6220079072559219,0.8266489358970595,0.3111803697767868,0.26,40350.16705489183,15189.253090939623,15189.253090939623,1548.8727639856245,363.5701415587495,3565.405128717111,258.13480050671217,0.6453839112342606,0.151492314554869,8616859.146583535,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,211.42857142857142,0.6220079072559219,0.8266489358970595,0.3911803697767868,0.33999999999999997,40350.16705489183,19094.191722341093,19094.191722341093,1947.0656872980167,363.5701415587495,3565.405128717111,258.13480050671217,0.8113028377262373,0.151492314554869,8616859.146583535,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,213.57142857142856,0.6283120414510833,0.8316125104539411,0.15179683523996035,0.1,41419.43731215094,7560.419573260697,7560.419573260697,770.9482415769603,362.72480040578574,3557.1151638993983,257.53460828810785,0.3212385181515996,0.15114007801723164,8704192.178474583,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,213.57142857142856,0.6283120414510833,0.8316125104539411,0.23179683523996034,0.18,41419.43731215094,11544.913485170882,11544.913485170882,1177.2535458256268,362.72480040578574,3557.1151638993983,257.53460828810785,0.4905377094786313,0.15114007801723164,8704192.178474583,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,213.57142857142856,0.6283120414510833,0.8316125104539411,0.3117968352399604,0.26,41419.43731215094,15529.407397081071,15529.407397081071,1583.5588500742938,362.72480040578574,3557.1151638993983,257.53460828810785,0.6598369008056632,0.15114007801723164,8704192.178474583,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,213.57142857142856,0.6283120414510833,0.8316125104539411,0.39179683523996034,0.33999999999999997,41419.43731215094,19513.901308991255,19513.901308991255,1989.86415432296,362.72480040578574,3557.1151638993983,257.53460828810785,0.8291360921326948,0.15114007801723164,8704192.178474583,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,215.71428571428572,0.6346161756462447,0.8367363628278394,0.15243707800308373,0.1,42515.112517837326,7745.42593235536,7745.42593235536,789.8136399642447,361.8794592528221,3548.8251990816875,256.93441606950364,0.3290993475762502,0.1507878414795944,8791525.210365633,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,215.71428571428572,0.6346161756462447,0.8367363628278394,0.23243707800308372,0.18,42515.112517837326,11810.27736289704,11810.27736289704,1204.3131306712323,361.8794592528221,3548.8251990816875,256.93441606950364,0.5018128904425561,0.1507878414795944,8791525.210365633,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,215.71428571428572,0.6346161756462447,0.8367363628278394,0.31243707800308373,0.26,42515.112517837326,15875.128793438724,15875.128793438724,1618.8126213782205,361.8794592528221,3548.8251990816875,256.93441606950364,0.674526433308862,0.1507878414795944,8791525.210365633,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,215.71428571428572,0.6346161756462447,0.8367363628278394,0.3924370780030837,0.33999999999999997,42515.112517837326,19939.9802239804,19939.9802239804,2033.3121120852077,361.8794592528221,3548.8251990816875,256.93441606950364,0.8472399761751678,0.1507878414795944,8791525.210365633,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,217.85714285714286,0.6409203098414061,0.8420271768328648,0.15310231013783726,0.1,43638.17618945354,7934.548632904093,7934.548632904093,809.098788363416,361.0341180998583,3540.535234263975,256.3342238508994,0.3371350783296033,0.15043560494195707,8878858.242256684,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,217.85714285714286,0.6409203098414061,0.8420271768328648,0.23310231013783728,0.18,43638.17618945354,12080.559820200046,12080.559820200046,1231.8742710507713,361.0341180998583,3540.535234263975,256.3342238508994,0.5132970594394023,0.15043560494195707,8878858.242256684,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,217.85714285714286,0.6409203098414061,0.8420271768328648,0.3131023101378373,0.26,43638.17618945354,16226.571007495995,16226.571007495995,1654.6497537381263,361.0341180998583,3540.535234263975,256.3342238508994,0.6894590405492013,0.15043560494195707,8878858.242256684,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,217.85714285714286,0.6409203098414061,0.8420271768328648,0.39310231013783725,0.33999999999999997,43638.17618945354,20372.582194791943,20372.582194791943,2077.425236425481,361.0341180998583,3540.535234263975,256.3342238508994,0.8656210216590001,0.15043560494195707,8878858.242256684,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,220.0,0.6472244440365674,0.8474920632887332,0.15379383131124552,0.1,44789.671446115295,8127.952429594797,8127.952429594797,828.8204870771158,360.18877694689456,3532.245269446263,255.7340316322951,0.34535271075751095,0.15008336840431977,8966191.274147732,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,220.0,0.6472244440365674,0.8474920632887332,0.23379383131124548,0.18,44789.671446115295,12355.92561176779,12355.92561176779,1259.9537672668844,360.18877694689456,3532.245269446263,255.7340316322951,0.5249972168150219,0.15008336840431977,8966191.274147732,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,220.0,0.6472244440365674,0.8474920632887332,0.3137938313112455,0.26,44789.671446115295,16583.89879394079,16583.89879394079,1691.0870474566534,360.18877694689456,3532.245269446263,255.7340316322951,0.704641722872533,0.15008336840431977,8966191.274147732,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,220.0,0.6472244440365674,0.8474920632887332,0.39379383131124546,0.33999999999999997,44789.671446115295,20811.871976113784,20811.871976113784,2122.220327646422,360.18877694689456,3532.245269446263,255.7340316322951,0.884286228930044,0.15008336840431977,8966191.274147732,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
110,190.0,0.5590297635455073,0.7846776109214755,0.14611515997095392,0.1,30901.347836604877,5754.153450563348,5754.153450563348,586.7603565502336,371.76457346556197,3645.765054376053,263.95284716054897,0.2444919243430108,0.15490725464744703,7737441.024389005,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,190.0,0.5590297635455073,0.7846776109214755,0.2261151599709539,0.18,30901.347836604877,8904.629254282665,8904.629254282665,908.0194821149593,371.76457346556197,3645.765054376053,263.95284716054897,0.37835451568075457,0.15490725464744703,7737441.024389005,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,190.0,0.5590297635455073,0.7846776109214755,0.30611515997095395,0.26,30901.347836604877,12055.105058001986,12055.105058001986,1229.2786076796854,371.76457346556197,3645.765054376053,263.95284716054897,0.5122171070184984,0.15490725464744703,7737441.024389005,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,190.0,0.5590297635455073,0.7846776109214755,0.3861151599709539,0.33999999999999997,30901.347836604877,15205.580861721302,15205.580861721302,1550.5377332444111,371.76457346556197,3645.765054376053,263.95284716054897,0.6460796983562421,0.15490725464744703,7737441.024389005,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,192.14285714285714,0.5653346105027873,0.788333092803716,0.14654582292084092,0.1,31749.523086978337,5902.022927361684,5902.022927361684,601.8388468398163,370.919706030951,3637.4797351484253,263.35299128197516,0.25077484558322904,0.1545552143935396,7824705.396844519,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,192.14285714285714,0.5653346105027873,0.788333092803716,0.2265458229208409,0.18,31749.523086978337,9123.962828330274,9123.962828330274,930.3852822656335,370.919706030951,3637.4797351484253,263.35299128197516,0.3876739208813023,0.1545552143935396,7824705.396844519,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,192.14285714285714,0.5653346105027873,0.788333092803716,0.3065458229208409,0.26,31749.523086978337,12345.902729298865,12345.902729298865,1258.9317176914508,370.919706030951,3637.4797351484253,263.35299128197516,0.5245729961793757,0.1545552143935396,7824705.396844519,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,192.14285714285714,0.5653346105027873,0.788333092803716,0.3865458229208409,0.33999999999999997,31749.523086978337,15567.842630267452,15567.842630267452,1587.4781531172678,370.919706030951,3637.4797351484253,263.35299128197516,0.6614720714774489,0.1545552143935396,7824705.396844519,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,194.28571428571428,0.5716394574600675,0.7920998346143706,0.14699168765125467,0.1,32616.745047470642,6052.760259131394,6052.760259131394,617.2097769504769,370.0748385963399,3629.194415920796,262.7531354034013,0.25717962095658986,0.15420317413963205,7911969.769300035,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,194.28571428571428,0.5716394574600675,0.7920998346143706,0.22699168765125466,0.18,32616.745047470642,9346.965723860463,9346.965723860463,953.1252490769492,370.0748385963399,3629.194415920796,262.7531354034013,0.3971492342407161,0.15420317413963205,7911969.769300035,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,194.28571428571428,0.5716394574600675,0.7920998346143706,0.3069916876512547,0.26,32616.745047470642,12641.171188589533,12641.171188589533,1289.0407212034215,370.0748385963399,3629.194415920796,262.7531354034013,0.5371188475248423,0.15420317413963205,7911969.769300035,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,194.28571428571428,0.5716394574600675,0.7920998346143706,0.38699168765125463,0.33999999999999997,32616.745047470642,15935.376653318599,15935.376653318599,1624.9561933298935,370.0748385963399,3629.194415920796,262.7531354034013,0.6770884608089685,0.15420317413963205,7911969.769300035,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,196.42857142857142,0.5779443044173477,0.7959816018942749,0.14745339146448522,0.1,33503.586932315404,6206.4468671617515,6206.4468671617515,632.8814495430909,369.2299711617289,3620.9090966931685,262.1532795248275,0.2637097100245853,0.15385113388572458,7999234.141755549,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
